year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2025,0.0,7.5059,1.1060413,16.3716,12.42,0.2672,8.744027299999999,0.0,0.0,0.0
2030,4.9983328,5.04524,22.454100999999998,16.3327,12.42,30.488531,17.385416,0.0,0.0,0.0
2035,4.9983328,2.81574,25.212109,15.903979999999999,12.42,35.211854,19.641934000000003,0.0,0.0,0.0
2040,4.9983328,2.4444,29.004134999999998,5.02332,12.42,38.315613,22.273642,0.0,0.0,0.0
2045,4.9983328,2.35704,31.92289,0.6888,12.42,42.975108,24.512701,0.0,0.0,0.0
2050,4.9983328,2.2556,35.017201,0.6888,12.42,47.999552,26.348592,0.0,0.0,0.0
2025,0.0,7.5059,1.3489205,16.3716,12.42,0.2672,8.6770656,0.0,0.0,0.0
2030,4.973487100000001,5.04524,22.544145,16.3327,12.42,37.866433,14.627818,0.0,0.0,0.0
2035,4.973487100000001,2.81574,25.561799999999998,15.903979999999999,12.42,43.193957000000005,16.565256,0.0,0.0,0.0
2040,4.973487100000001,2.4444,28.500935000000002,5.02332,12.42,49.519286,17.934666,0.0,0.0,0.0
2045,4.973487100000001,2.35704,31.529276999999997,0.6888,12.42,54.711,19.949418,0.0,0.0,0.0
2050,4.973487100000001,2.2556,34.557618999999995,0.6888,12.42,59.902714,21.964169000000002,0.0,0.0,0.0
2025,0.0,7.5059,1.5176733999999998,16.3716,12.42,0.2672,8.538883599999998,0.0,0.0,0.0
2030,7.7195429,5.04524,21.270716,16.3327,12.42,30.538854999999998,13.466784,0.0,0.0,0.0
2035,8.4152457,2.81574,23.48301,15.903979999999999,12.42,33.591063000000005,14.918194999999999,0.0,0.0,0.0
2040,8.4152457,2.4444,27.629199,5.02332,12.42,38.252576999999995,17.183584,0.0,0.0,0.0
2045,8.4152457,2.35704,31.899267,0.6888,12.42,42.800281999999996,19.410277999999998,0.0,0.0,0.0
2050,8.4152457,2.2556,35.530352,0.6888,12.42,47.935025,21.836568,0.0,0.0,0.0
2025,0.0,7.5059,1.0772574,16.3716,12.42,0.2672,8.883970600000001,0.0,0.0,0.0
2030,4.867204,5.04524,23.224981,16.3327,12.42,37.838575,14.092113999999999,0.0,0.0,0.0
2035,4.9738453,2.81574,26.545716,15.903979999999999,12.42,42.388529999999996,15.816930000000001,0.0,0.0,0.0
2040,4.9738453,2.4444,30.139467,5.02332,12.42,47.232757,17.632831,0.0,0.0,0.0
2045,4.9738453,2.35704,33.61243,0.6888,12.42,52.22418,19.470984,0.0,0.0,0.0
2050,4.9738453,2.2556,37.085184999999996,0.6888,12.42,57.220119,21.308451,0.0,0.0,0.0
