year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2045,2.35704,9.006853300000001,0.6888,12.42,9.324698099999999,1.6672851,13.751511
2050,2.2556,10.254054,0.6888,12.42,9.4367672,2.7132525999999997,14.45557
2025,7.5059,0.29894185,16.3716,12.42,0.2672,6.29482,0.88688139
2030,5.04524,9.2536646,16.3327,12.42,8.3776067,5.61546,9.4781747
2035,2.81574,9.2375846,15.903979999999999,12.42,8.3567867,3.21062,10.980486
2040,2.4444,9.0667428,5.02332,12.42,8.3388467,2.3312323999999998,12.436547000000001
2045,2.35704,9.0678813,0.6888,12.42,8.3410487,1.7193763,13.8088
2050,2.2556,10.125200000000001,0.6888,12.42,9.3452824,3.0642863,14.387386000000001
2025,7.5059,0.5924433699999999,16.3716,12.42,0.2672,6.29482,0.8569864199999999
2030,5.04524,9.6718668,16.3327,12.42,9.5416214,5.61546,9.305416800000001
2035,2.81574,9.8276687,15.903979999999999,12.42,9.5208014,3.21062,10.571828
2040,2.4444,10.119712999999999,5.02332,12.42,9.5028614,3.1790122000000003,11.732657
2045,2.35704,10.350236,0.6888,12.42,9.3056214,3.0769283,12.939525
2050,2.2556,10.669743,0.6888,12.42,9.3676919,3.0769283,14.079801999999999
2025,7.5059,0.74540626,16.3716,12.42,0.2672,6.29482,0.8241473899999999
2030,5.04524,8.617263999999999,16.3327,12.42,6.8568343,5.61546,9.8863371
2035,2.81574,9.1556202,15.903979999999999,12.42,6.8360142999999995,3.21062,11.149457
2040,2.4444,8.9738221,5.02332,12.42,6.8180743,1.91224,12.69475
2045,2.35704,9.849932,0.6888,12.42,6.6208343,2.5155972,13.609793
2050,2.2556,10.399709999999999,0.6888,12.42,6.5914342999999995,2.6501918,14.692733
2025,7.5059,0.33842946999999995,16.3716,12.42,0.2672,6.29482,0.91663009
2030,5.04524,9.4565543,16.3327,12.42,10.10064,5.61546,8.993444799999999
2035,2.81574,9.467478999999999,15.903979999999999,12.42,10.07982,3.3145846999999997,10.479466
2040,2.4444,9.853635200000001,5.02332,12.42,10.061879999999999,3.3131664,11.626055000000001
2045,2.35704,10.328159,0.6888,12.42,10.996167999999999,3.6159106000000003,12.561235
2050,2.2556,10.758499,0.6888,12.42,11.454341000000001,3.7665736,13.602120000000001
2025,7.5059,0.49293378,16.3716,12.42,0.2672,6.29482,1.0682293999999999
2030,5.04524,9.1480139,16.3327,12.42,9.9590437,5.61546,9.380714099999999
2035,2.81574,9.4833276,15.903979999999999,12.42,9.9382237,3.21062,10.676058999999999
2040,2.4444,9.1184938,5.02332,12.42,9.9202837,2.3940883,12.157853999999999
2045,2.35704,9.375037200000001,0.6888,12.42,9.7230437,2.2942714,13.363298
2050,2.2556,9.9425427,0.6888,12.42,9.6936437,2.5431681,14.403644
2025,7.5059,0.6891793199999999,16.3716,12.42,0.2672,6.29482,0.7548435
2030,5.04524,8.788075000000001,16.3327,12.42,8.6835153,5.61546,9.6263634
2035,2.81574,9.1639503,15.903979999999999,12.42,8.6626953,3.21062,10.935626000000001
2040,2.4444,9.1813275,5.02332,12.42,8.6447553,2.2443829,12.279446
2045,2.35704,9.7306736,0.6888,12.42,8.4475153,2.4094362,13.350896
2050,2.2556,10.136118,0.6888,12.42,8.7994951,2.5098293,14.424683000000002
2025,7.5059,0.54439603,16.3716,12.42,0.2672,6.29482,0.95188226
2030,5.04524,9.5737689,16.3327,12.42,8.834005999999999,5.61546,9.5131352
2035,2.81574,9.655586799999998,15.903979999999999,12.42,8.813186,3.21062,10.856992
2040,2.4444,9.239290800000001,5.02332,12.42,8.795245999999999,2.2706581,12.400477
2045,2.35704,9.527203,0.6888,12.42,8.598006,2.0933601,13.631986000000001
2050,2.2556,10.949969999999999,0.6888,12.42,9.8464354,3.5805673000000002,14.070183
2025,7.5059,0.69161567,16.3716,12.42,0.2672,6.29482,0.8819867400000001
2030,5.04524,9.3772182,16.3327,12.42,9.308513499999998,5.61546,9.5374344
2035,2.81574,9.6915756,15.903979999999999,12.42,9.2876935,3.21062,10.820767
2040,2.4444,9.12806,5.02332,12.42,9.2697535,2.2006115,12.401433
2045,2.35704,9.782231900000001,0.6888,12.42,9.0725135,2.4229278,13.458422
2050,2.2556,10.607132,0.6888,12.42,9.8730294,3.0795798,14.270571
2025,7.5059,0.43945107,16.3716,12.42,0.2672,6.29482,1.0163709
2030,5.04524,9.3186923,16.3327,12.42,6.864116699999999,5.61546,9.7225704
2035,2.81574,9.3026123,15.903979999999999,12.42,7.044957,3.21062,11.134807
2040,2.4444,8.9912612,5.02332,12.42,7.202458,1.91224,12.689107
2045,2.35704,8.787741400000002,0.6888,12.42,7.7667983000000005,1.1223535999999998,14.066293
2050,2.2556,9.1538973,0.6888,12.42,8.090414899999999,1.1691184000000001,15.169888
2025,7.5059,0.44781874,16.3716,12.42,0.2672,6.29482,1.0805595000000001
2030,5.04524,8.9794781,16.3327,12.42,8.0195653,5.61546,9.5986091
2035,2.81574,8.963398100000001,15.903979999999999,12.42,8.0811457,3.21062,11.034124
2040,2.4444,8.795554899999999,5.02332,12.42,8.063205700000001,1.91224,12.492982
2045,2.35704,9.276325199999999,0.6888,12.42,7.865965699999999,1.9853784,13.618834000000001
2050,2.2556,9.7080036,0.6888,12.42,8.8386628,2.2705811,14.570722
2025,7.5059,0.38862515000000003,16.3716,12.42,0.2672,6.29482,0.8281623100000001
2030,5.04524,9.0169632,16.3327,12.42,9.0738661,5.61546,9.357094
2035,2.81574,9.0008832,15.903979999999999,12.42,9.0530461,3.21062,10.803109000000001
2040,2.4444,8.740358,5.02332,12.42,9.0351061,2.4794643,12.255013000000002
2045,2.35704,9.774153,0.6888,12.42,8.8378661,3.2700013,13.083906
2050,2.2556,10.124495999999999,0.6888,12.42,8.8084661,3.2700013,14.231386
2025,7.5059,0.30972368,16.3716,12.42,0.2672,6.29482,0.8859842200000001
2030,5.04524,9.3267167,16.3327,12.42,6.2035860000000005,5.61546,9.7985086
