,Steam Production (klbs),CWS,TES
2019-08-29 18:00:00,171.12233166666664,14260.868388890003,260.4319162778833
2019-08-29 19:00:00,171.4924696666666,15187.752611111666,0.0
2019-08-29 20:00:00,167.3937866666667,14939.993055555,-655.7500053056166
2019-08-29 21:00:00,163.09453416666668,18014.61775000333,-3994.281588611501
2019-08-29 22:00:00,162.060866,17279.258166663334,-4075.432717222333
2019-08-29 23:00:00,161.70283825000007,15944.031833329998,-4274.857799444667
2019-08-30 00:00:00,169.84461149999998,15127.195888888336,-4260.3433658338345
2019-08-30 01:00:00,165.72699583333335,14721.884638890002,-4258.580213056
2019-08-30 02:00:00,164.4715305,14203.341000000004,-4264.378198055667
2019-08-30 03:00:00,163.39851566666673,13955.266611115,-4261.864965833333
2019-08-30 04:00:00,165.52366816666668,13938.712277779996,-4210.767804167
2019-08-30 05:00:00,168.19051175,10745.061338891832,-308.18807911105
2019-08-30 06:00:00,171.21665458333334,10329.014616666665,0.0
2019-08-30 07:00:00,170.03881758333324,10173.150583334836,0.0
2019-08-30 08:00:00,170.7634915833334,11522.179833329994,0.0
2019-08-30 09:00:00,172.99022599999998,12833.089305548334,2035.2357511908954
2019-08-30 10:00:00,172.75886474999996,12064.621361106663,2979.979574999665
2019-08-30 11:00:00,172.32475508333332,12925.616694436669,2897.698692778
2019-08-30 12:00:00,173.70438199999995,13506.462416665,2913.968623055333
2019-08-30 13:00:00,171.82022600000002,14333.753111103339,2898.3564569443333
2019-08-30 14:00:00,168.40686224999996,15382.117888885005,2908.5490533341663
2019-08-30 15:00:00,166.77886391666667,15604.786000001663,2881.756238611501
2019-08-30 16:00:00,165.76576791666665,15495.187444445002,2874.365392499999
2019-08-30 17:00:00,166.15515991666663,15265.51311110833,2895.3842616666666
2019-08-30 18:00:00,167.64458358333337,14840.298444441667,3053.9331819445
2019-08-30 19:00:00,166.66526491666667,15179.457222228335,290.22771508333335
2019-08-30 20:00:00,165.4630936666667,18101.63322222334,-2499.441106360334
2019-08-30 21:00:00,163.7619665833334,18163.31008334,-2742.719150556167
2019-08-30 22:00:00,168.9862494999999,17750.36522222667,-2793.141557499834
2019-08-30 23:00:00,167.98768075,17201.81727778167,-2886.2582450001664
2019-08-31 00:00:00,158.7057194166667,16680.463722220004,-2928.5136016666675
2019-08-31 01:00:00,157.30609633333336,16476.76511111334,-2914.5287297225004
2019-08-31 02:00:00,158.05029608333334,16375.250000004997,-2925.8148352775
2019-08-31 03:00:00,157.55482049999995,16341.05308333333,-2924.496785833833
2019-08-31 04:00:00,159.54378058333336,16392.77197222333,-2552.9074044441672
2019-08-31 05:00:00,161.69258941666675,16723.032527783336,-2488.638890832834
2019-08-31 06:00:00,167.41681341666666,16878.13644444,-2445.5870788888333
2019-08-31 07:00:00,169.8439126666667,14385.808277769998,1038.8876268737222
2019-08-31 08:00:00,170.2113561666667,13002.729111116667,3200.167456945
2019-08-31 09:00:00,171.35826566666668,13695.179555551671,3172.049998334167
2019-08-31 10:00:00,171.40239641666665,14638.589638886666,3143.874683610833
2019-08-31 11:00:00,170.49013391666665,15495.537805560005,3125.5013605550007
2019-08-31 12:00:00,168.36010875,16324.930166664999,3527.3986013888334
